"","GeoFips","GeoName","X2021"
"1","00000","United States",21403979
"2","01000","Alabama",254960.4
"3","02000","Alaska",48183.7
"4","04000","Arizona",414355.4
"5","05000","Arkansas",160036.7
"6","06000","California",3009556.6
"7","08000","Colorado",416727.1
"8","09000","Connecticut",294632.1
"9","10000","Delaware",59920.7
"10","11000","District of Columbia",65428.9
"11","12000","Florida",1358786.3
"12","13000","Georgia",605211.5
"13","15000","Hawaii",88342.4
"14","16000","Idaho",105544.5
"15","17000","Illinois",846013
"16","18000","Indiana",390237
"17","19000","Iowa",186141.8
"18","20000","Kansas",173399.5
"19","21000","Kentucky",233354.7
"20","22000","Louisiana",254296.9
"21","23000","Maine",81589.1
"22","24000","Maryland",426578.3
"23","25000","Massachusetts",585962.4
"24","26000","Michigan",571333.9
"25","27000","Minnesota",385733.6
"26","28000","Mississippi",138243.1
"27","29000","Missouri",349482.8
"28","30000","Montana",65254.4
"29","31000","Nebraska",124781
"30","32000","Nevada",191329.7
"31","33000","New Hampshire",102233.5
"32","34000","New Jersey",704936.4
"33","35000","New Mexico",107310.6
"34","36000","New York",1509255.2
"35","37000","North Carolina",602410.1
"36","38000","North Dakota",51326.6
"37","39000","Ohio",674620.8
"38","40000","Oklahoma",217544.9
"39","41000","Oregon",265378.9
"40","42000","Pennsylvania",830114.9
"41","44000","Rhode Island",69014.4
"42","45000","South Carolina",276439.6
"43","46000","South Dakota",60077.7
"44","47000","Tennessee",400467.6
"45","48000","Texas",1779913.1
"46","49000","Utah",194315.6
"47","50000","Vermont",39354.6
"48","51000","Virginia",579894.1
"49","53000","Washington",570161
"50","54000","West Virginia",87124.3
"51","55000","Wisconsin",355535.5
"52","56000","Wyoming",41132.1
"53","Legend/Footnotes","",NA
"54","  Last updated: March 28"," 2025.",NA
