"","GeoFips","GeoName","X2019"
"1","00000","United States",18349584
"2","01000","Alabama",215151.8
"3","02000","Alaska",44459.7
"4","04000","Arizona",337257.2
"5","05000","Arkansas",131394.8
"6","06000","California",2539747.4
"7","08000","Colorado",351476
"8","09000","Connecticut",267564.2
"9","10000","Delaware",52774.4
"10","11000","District of Columbia",57511.2
"11","12000","Florida",1145938.8
"12","13000","Georgia",516504.2
"13","15000","Hawaii",78586.9
"14","16000","Idaho",82967.7
"15","17000","Illinois",741904.7
"16","18000","Indiana",326391.4
"17","19000","Iowa",158156.3
"18","20000","Kansas",153011.9
"19","21000","Kentucky",195518.9
"20","22000","Louisiana",219305
"21","23000","Maine",67852.8
"22","24000","Maryland",380447.2
"23","25000","Massachusetts",507884.7
"24","26000","Michigan",489569.6
"25","27000","Minnesota",329291.6
"26","28000","Mississippi",116213.5
"27","29000","Missouri",297492.6
"28","30000","Montana",53402.3
"29","31000","Nebraska",104615.9
"30","32000","Nevada",159393
"31","33000","New Hampshire",87724.1
"32","34000","New Jersey",625170.3
"33","35000","New Mexico",91208.9
"34","36000","New York",1343851.2
"35","37000","North Carolina",501618.1
"36","38000","North Dakota",43997.2
"37","39000","Ohio",582299.9
"38","40000","Oklahoma",189996.8
"39","41000","Oregon",220029.4
"40","42000","Pennsylvania",729329.5
"41","44000","Rhode Island",60337
"42","45000","South Carolina",234295.4
"43","46000","South Dakota",48013.9
"44","47000","Tennessee",335601.7
"45","48000","Texas",1537205.7
"46","49000","Utah",155711.5
"47","50000","Vermont",34838
"48","51000","Virginia",501770.8
"49","53000","Washington",484540.9
"50","54000","West Virginia",76725
"51","55000","Wisconsin",307947.5
"52","56000","Wyoming",35585.6
"53","Legend/Footnotes","",NA
"54","  Last updated: March 28"," 2025.",NA
