"","GeoFips","GeoName","X2022"
"1","00000","United States",22077232
"2","01000","Alabama",262235.6
"3","02000","Alaska",50606.8
"4","04000","Arizona",434338.9
"5","05000","Arkansas",168534.8
"6","06000","California",3003826.1
"7","08000","Colorado",447854.4
"8","09000","Connecticut",306717.6
"9","10000","Delaware",65208.2
"10","11000","District of Columbia",67776.1
"11","12000","Florida",1436107.2
"12","13000","Georgia",625219.3
"13","15000","Hawaii",90053.9
"14","16000","Idaho",110794.4
"15","17000","Illinois",862729.1
"16","18000","Indiana",402919.5
"17","19000","Iowa",197021.3
"18","20000","Kansas",183033.7
"19","21000","Kentucky",237781.3
"20","22000","Louisiana",255687
"21","23000","Maine",85708
"22","24000","Maryland",439741.3
"23","25000","Massachusetts",601909.6
"24","26000","Michigan",582021.1
"25","27000","Minnesota",399446
"26","28000","Mississippi",138523.5
"27","29000","Missouri",364499.1
"28","30000","Montana",69132.4
"29","31000","Nebraska",131988.8
"30","32000","Nevada",198485.1
"31","33000","New Hampshire",104683.6
"32","34000","New Jersey",719973.5
"33","35000","New Mexico",112180.9
"34","36000","New York",1524707
"35","37000","North Carolina",630558.8
"36","38000","North Dakota",55488
"37","39000","Ohio",686658.4
"38","40000","Oklahoma",233290.2
"39","41000","Oregon",271773.2
"40","42000","Pennsylvania",848382.6
"41","44000","Rhode Island",70450.4
"42","45000","South Carolina",287548.3
"43","46000","South Dakota",63440.1
"44","47000","Tennessee",417369.3
"45","48000","Texas",1891498.6
"46","49000","Utah",205519.4
"47","50000","Vermont",41171.6
"48","51000","Virginia",604996.5
"49","53000","Washington",589077.3
"50","54000","West Virginia",88938.9
"51","55000","Wisconsin",365165.5
"52","56000","Wyoming",44459.9
"53","Legend/Footnotes","",NA
"54","  Last updated: March 28"," 2025.",NA
